                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r23.05.1"          1.9743990636411914E+000          4.9359976591029786E-001          3.0522747004476300E+003                       "gfortran"                         "10.2.0"            "x86_64-linux-21.4.1"                       "20260316" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          3.3615999999999997E+002          3.0613655840296688E+003          1.1984344143571768E+003          3.9670082055281770E+000          1.5838555394113653E+001          6.0069803059700712E+002          3.2086398484595702E+002         -3.6968405091545803E-001         -1.0000000000000000E+000          1.9707313006582603E+000          4.9359976627085783E-001         -1.5136032525972595E+001         -5.5469767482305121E+000         -1.5161608787235938E+001         -9.8999999999999986E+001         -1.6378705150714310E+001         -5.5469767483423853E+000         -9.8999999999999986E+001          1.0000000000000000E+000          2.4286669396132463E-010          1.2960826552034628E+053         -1.1846783792341638E+039          0.0000000000000000E+000         -3.9727153173681824E+024         -1.1846783792341599E+039          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              10          4.6215350662528971E+002          3.0618396844479112E+003          1.1985272087259398E+003          3.9670082069198629E+000          1.5837021966459123E+001          6.0073439886160952E+002          3.2089724527607325E+002         -3.8887188344096585E-001         -1.0000000000000000E+000          1.9705405013871531E+000          4.9359976627086749E-001         -1.6886088513973363E+001         -5.9711714106377789E+000         -1.6911664775236709E+001         -9.8999999999999986E+001         -1.8128761138715010E+001         -5.9711714106430618E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.1468500435236987E-011          1.2960575190181096E+053         -4.4614194087842069E+038          0.0000000000000000E+000         -3.9700807452189139E+024         -4.4614194087841669E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              15          5.7427371869038302E+002          3.0620535834953812E+003          1.1985690723028022E+003          3.9670082071675785E+000          1.5836330250530894E+001          6.0075080585184730E+002          3.2091225079635564E+002         -4.0325608366077415E-001         -1.0000000000000000E+000          1.9704544336779886E+000          4.9359976627086777E-001         -1.8033589774442721E+001         -6.2155571037013662E+000         -1.8059166035706070E+001         -9.8999999999999986E+001         -1.9276262399184372E+001         -6.2155571037020261E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.4334781185092652E-012          1.2960461791777044E+053         -2.5416614262553773E+038          0.0000000000000000E+000         -3.9691130224865619E+024         -2.5416614262553377E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              20          6.8508705705098816E+002          3.0621750888474721E+003          1.1985928522652061E+003          3.9670082072478503E+000          1.5835937353794028E+001          6.0076012550036739E+002          3.2092077453553026E+002         -4.1775895397536411E-001         -1.0000000000000000E+000          1.9704055469891972E+000          4.9359976627086777E-001         -1.9278108916627538E+001         -6.4555003285734642E+000         -1.9303685177890884E+001         -9.8999999999999986E+001         -2.0520781541369189E+001         -6.4555003285735300E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.4184536549372491E-013          1.2960397377850189E+053         -1.4628227499684203E+038          0.0000000000000000E+000         -3.9685596791005855E+024         -1.4628227499683806E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              25          7.9566700665753956E+002          3.0622455770419920E+003          1.1986066473834881E+003          3.9670082072746813E+000          1.5835709435677899E+001          6.0076553194030714E+002          3.2092571931420974E+002         -4.3172389431228148E-001         -1.0000000000000000E+000          1.9703771879902137E+000          4.9359976627086777E-001         -2.0591242732937676E+001         -6.6844340815466712E+000         -2.0616818994201026E+001         -9.8999999999999986E+001         -2.1833915357679327E+001         -6.6844340815466765E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.1684633297581857E-014          1.2960360010447184E+053         -8.6351115025280888E+037          0.0000000000000000E+000         -3.9682417490897772E+024         -8.6351115025276921E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              30          9.1196499071201072E+002          3.0622902011522697E+003          1.1986153806070511E+003          3.9670082072853798E+000          1.5835565151164312E+001          6.0076895456337820E+002          3.2092884969723684E+002         -4.4508459028968406E-001         -1.0000000000000000E+000          1.9703592352108041E+000          4.9359976627086777E-001         -2.1947836440617600E+001         -6.8985354568507296E+000         -2.1973412701880946E+001         -9.8999999999999986E+001         -2.3190509065359247E+001         -6.8985354568507304E+000         -9.8999999999999986E+001          1.0000000000000000E+000          8.4163299876260125E-016          1.2960336354436967E+053         -5.2743980623914762E+037          0.0000000000000000E+000         -3.9680426830998794E+024         -5.2743980623910796E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              35          1.0368233918509422E+003          3.0623200517293085E+003          1.1986212225205863E+003          3.9670082072901547E+000          1.5835468636140682E+001          6.0077124405296502E+002          3.2093094370835746E+002         -4.5776615477892507E-001         -1.0000000000000000E+000          1.9703472262105637E+000          4.9359976627086777E-001         -2.3339473684111326E+001         -7.0976830231077228E+000         -2.3365049945374672E+001         -9.8999999999999986E+001         -2.4582146308852973E+001         -7.0976830231077228E+000         -9.8999999999999986E+001          1.0000000000000000E+000          5.4029764892237335E-017          1.2960320530238346E+053         -3.3344911594053998E+037          0.0000000000000000E+000         -3.9679103492602494E+024         -3.3344911594050031E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              40          1.1706017670702267E+003          3.0623406955171181E+003          1.1986252626009750E+003          3.9670082072924346E+000          1.5835401889996390E+001          6.0077282738832218E+002          3.2093239186158297E+002         -4.6991952332955272E-001         -1.0000000000000000E+000          1.9703389212401698E+000          4.9359976627086777E-001         -2.4766025474327300E+001         -7.2830984106739169E+000         -2.4791601735590646E+001         -9.8999999999999986E+001         -2.6008698099068948E+001         -7.2830984106739169E+000         -9.8999999999999986E+001          1.0000000000000000E+000          3.1009636477624032E-018          1.2960309586734153E+053         -2.1757906715232938E+037          0.0000000000000000E+000         -3.9678191095409495E+024         -2.1757906715228971E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              45          1.3111657812745914E+003          3.0623549955311282E+003          1.1986280611689215E+003          3.9670082072935315E+000          1.5835355655138530E+001          6.0077392416526777E+002          3.2093339499988940E+002         -4.8180365843935230E-001         -1.0000000000000000E+000          1.9703331684118410E+000          4.9359976627086777E-001         -2.6266907938038504E+001         -7.4608228691674627E+000         -2.6292484199301850E+001         -9.8999999999999986E+001         -2.7509580562780155E+001         -7.4608228691674627E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.4734610833328055E-019          1.2960302006159628E+053         -1.4450892819251305E+037          0.0000000000000000E+000         -3.9677558724424401E+024         -1.4450892819247338E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
