                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r23.05.1"          1.9984167041696339E+000          8.0013373770168950E-001          2.0471574661823470E+003                       "gfortran"                         "10.2.0"            "x86_64-linux-21.4.1"                       "20260503" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index                       Omega_star                        Omega_orb                   beta_accretion                    eta_accretion                           f_conv                vwind_over_vorbit         angular_momentum_j_orbit               wind_mass_transfer 
                              10          8.5623555070065731E+002          2.0503667505667854E+003          9.5712765000068418E+002          6.7523651262832871E+000          1.6864727951465341E+001          4.4007579569343261E+002          2.9013185779693822E+002         -5.2541658652715029E-001         -1.0000000000000000E+000          1.9984165282965525E+000          8.0013375325661817E-001         -4.2396415417920679E+001         -9.6341935273628376E+000         -1.0687729763165748E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.6743903259736648E+000         -9.8999999999999986E+001          1.0000000000000000E+000          8.8402340672901342E-002          1.7866509204384100E+053          4.0440738625677384E+039          0.0000000000000000E+000         -2.5133724613635615E+025         -5.3554233563565256E+035          4.0446094049033992E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          7.4852547080991318E-008          3.5467826498029076E-008          8.8402341832317308E-002          2.5538256429425810E-001          1.0000000000000000E+000          6.3509319151456711E-001          1.7866509204384100E+053         -1.2932193080774030E+015 
                              20          1.7308310928654573E+003          2.0543401281266497E+003          9.5836376298227106E+002          6.7480094979013154E+000          1.6853846913427201E+001          4.4064413341440633E+002          2.9050656853449021E+002         -5.1159005722230244E-001         -1.0000000000000000E+000          1.9984162944635366E+000          8.0013377391348794E-001         -3.9273202050370813E+001         -9.5259805720684465E+000         -1.0580058097783311E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.5661249148628258E+000         -9.8999999999999986E+001          1.0000000000000000E+000          8.8292227628730693E-002          1.7878041668484106E+053          4.2721235498914365E+039          0.0000000000000000E+000         -2.5020464386517643E+025         -6.8714768854277871E+035          4.2728106975800044E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          6.8515277076059377E-008          3.5399226822651584E-008          8.8292229038329756E-002          2.5521249390786677E-001          1.0000000000000000E+000          6.3550309821366124E-001          1.7878041668484106E+053         -1.6570814111153275E+015 
                              30          2.4813852579607956E+003          2.0578812870951256E+003          9.5946473728599460E+002          6.7441372193318525E+000          1.6844172915965004E+001          4.4115033506373140E+002          2.9084031582061067E+002         -5.0047345766584383E-001         -1.0000000000000000E+000          1.9984160432596088E+000          8.0013379607869495E-001         -3.6952511449436464E+001         -9.4357480443090456E+000         -1.0490316578151125E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.4758448660284706E+000         -9.8999999999999986E+001          1.0000000000000000E+000          8.8192461903779079E-002          1.7888306903023063E+053          4.3724301148642609E+039          0.0000000000000000E+000         -2.4918213753416898E+025         -8.4590522813777339E+035          4.3732760200924237E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          6.3667618108216865E-008          3.5338312575398245E-008          8.8192463304907834E-002          2.5505830467428431E-001          1.0000000000000000E+000          6.3587498563447276E-001          1.7888306903023063E+053         -2.0374425189932635E+015 
                              40          3.0548122115278325E+003          2.0606208240254459E+003          9.6031604400492631E+002          6.7411476879953209E+000          1.6836703893224264E+001          4.4154174365589375E+002          2.9109838099115950E+002         -4.9232047188739558E-001         -1.0000000000000000E+000          1.9984158134639176E+000          8.0013381633486325E-001         -3.5327198822514056E+001         -9.3667280868829863E+000         -1.0421681053953833E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.4067877432357481E+000         -9.8999999999999986E+001          1.0000000000000000E+000          8.8114429340791084E-002          1.7896240110444963E+053          4.3843591073252272E+039          0.0000000000000000E+000         -2.4838479175384590E+025         -9.9168132611812499E+035          4.3853507886513703E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          6.0230763944227231E-008          3.5291331291298433E-008          8.8114430526794352E-002          2.5493763838477801E-001          1.0000000000000000E+000          6.3616619457687207E-001          1.7896240110444963E+053         -2.3862771867168150E+015 
                              50          3.4530623915528818E+003          2.0625186954535479E+003          9.6090558092652736E+002          6.7390797832290259E+000          1.6831537222329391E+001          4.4181279613985453E+002          2.9127709429878092E+002         -4.8691923905493323E-001         -1.0000000000000000E+000          1.9984156316863242E+000          8.0013383234655888E-001         -3.4296299366193153E+001         -9.3202410582370963E+000         -1.0375460766081169E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.3602749484210150E+000         -9.8999999999999986E+001          1.0000000000000000E+000          8.8060326662630958E-002          1.7901731768367121E+053          4.3568972184332915E+039          0.0000000000000000E+000         -2.4783320242114710E+025         -1.1037741912060268E+036          4.3580009926245223E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          5.8028585197495869E-008          3.5258857205383449E-008          8.8060327614387590E-002          2.5485394277662299E-001          1.0000000000000000E+000          6.3636827388635930E-001          1.7901731768367121E+053         -2.6542460345596800E+015 
                              60          3.8028491056084808E+003          2.0641762063024521E+003          9.6142030480532651E+002          6.7372758850460395E+000          1.6827029999268635E+001          4.4204945080082450E+002          2.9143312942698424E+002         -4.8233483804287081E-001         -1.0000000000000000E+000          1.9984154560692036E+000          8.0013384780698182E-001         -3.3479150562197667E+001         -9.2817891565219366E+000         -1.0337234520459704E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.3218012627106379E+000         -9.8999999999999986E+001          1.0000000000000000E+000          8.8014583074937841E-002          1.7906525080452363E+053          4.3305593854587247E+039          0.0000000000000000E+000         -2.4736762309470770E+025         -1.2060072533519861E+036          4.3317653927121014E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          5.6322657428111482E-008          3.5230544729849889E-008          8.8014584088276213E-002          2.5478315821569719E-001          1.0000000000000000E+000          6.3653924364865555E-001          1.7906525080452363E+053         -2.8984607442726705E+015 
                              70          4.1418772145555231E+003          2.0657711235315337E+003          9.6191545897775859E+002          6.7355419689175751E+000          1.6822697456673108E+001          4.4227710698915348E+002          2.9158323292567979E+002         -4.7781337649873873E-001         -1.0000000000000000E+000          1.9984152699409623E+000          8.0013386418441002E-001         -3.2693955793849156E+001         -9.2432979636095158E+000         -1.0298960474022545E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.2832891190044258E+000         -9.8999999999999986E+001          1.0000000000000000E+000          8.7970586938487860E-002          1.7911134870261344E+053          4.2874626983511099E+039          0.0000000000000000E+000         -2.4692050787750463E+025         -1.3178263520719259E+036          4.2887805247032068E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          5.4695585533909284E-008          3.5203344328924789E-008          8.7970588014831957E-002          2.5471505968731711E-001          1.0000000000000000E+000          6.3670377986483284E-001          1.7911134870261344E+053         -3.1654938146687995E+015 
                              80          4.4730826697964976E+003          2.0673109613885244E+003          9.6239339049902310E+002          6.7338696658132786E+000          1.6818518676938428E+001          4.4249684377515371E+002          2.9172811632033785E+002         -4.7358880899069011E-001         -1.0000000000000000E+000          1.9984150718262899E+000          8.0013388160798382E-001         -3.1979454810104055E+001         -9.2070242743118662E+000         -1.0262896224153005E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.2469952333853147E+000         -9.8999999999999986E+001          1.0000000000000000E+000          8.7928173165641749E-002          1.7915583119410844E+053          4.2279043656463171E+039          0.0000000000000000E+000         -2.4649010059610203E+025         -1.4326770757281939E+036          4.2293370427220701E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          5.3208524843635687E-008          3.5177123095978800E-008          8.7928174312349741E-002          2.5464939390729308E-001          1.0000000000000000E+000          6.3686248994758554E-001          1.7915583119410844E+053         -3.4395824085642930E+015 
                              90          4.7971489563024452E+003          2.0687944143231648E+003          9.6285370709910296E+002          6.7322602115475840E+000          1.6814496742564010E+001          4.4270848077651709E+002          2.9186766072177244E+002         -4.6948596489388622E-001         -1.0000000000000000E+000          1.9984148613234818E+000          8.0013390011230923E-001         -3.1304328708849166E+001         -9.1714851286913603E+000         -1.0227558947300119E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.2114366315889846E+000         -9.8999999999999986E+001          1.0000000000000000E+000          8.7887311888172337E-002          1.7919866296208953E+053          4.1526974257200517E+039          0.0000000000000000E+000         -2.4607602728036395E+025         -1.5549028760570516E+036          4.1542523285961331E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          5.1809096533087030E-008          3.5151898933477368E-008          8.7887313099739225E-002          2.5458611660156738E-001          1.0000000000000000E+000          6.3701547653252810E-001          1.7919866296208953E+053         -3.7311524660530120E+015 
