q,R,e_init,age,a,e,spin1,type1,m1,m2,amloss
0.8,550,0.1,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24769331e+09
 1.24769331e+09 1.24769334e+09]","[1380.59187541 1380.59187541 1380.59187541 ... 1091.79954571 1091.79954571
 1091.59572116]","[1.00000000e-01 1.00000000e-01 1.00000000e-01 ... 2.23195924e-06
 2.23195924e-06 2.20599964e-06]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 3.15786057e-08
 3.15786057e-08 3.15907953e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.70084212 1.70084212 1.70056097],[1.6        1.6        1.6        ... 1.67658061 1.67658061 1.67666496],"[ 0.          0.          0.         ... -0.00601033 -0.00601033
 -0.00601585]"
0.8,550,0.11816326530612245,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24769294e+09
 1.24769294e+09 1.24769295e+09]","[1380.59187541 1380.59187541 1380.59187541 ... 1089.16015245 1089.16015245
 1089.0699216 ]","[1.18163265e-01 1.18163265e-01 1.18163265e-01 ... 2.13418731e-06
 2.13418731e-06 2.12325362e-06]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 3.17058738e-08
 3.17058738e-08 3.17100796e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.70525662 1.70525662 1.70513337],[1.6        1.6        1.6        ... 1.67559836 1.67559836 1.67563534],"[ 0.          0.          0.         ... -0.0059185  -0.0059185
 -0.00592092]"
0.8,550,0.1363265306122449,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24769250e+09
 1.24769250e+09 1.24769252e+09]","[1380.59187541 1380.59187541 1380.59187541 ... 1086.21745379 1086.21745379
 1086.02168045]","[1.36326531e-01 1.36326531e-01 1.36326531e-01 ... 1.91470228e-06
 1.91470228e-06 1.89349667e-06]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 3.18480943e-08
 3.18480943e-08 3.18590343e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.71054941 1.71054941 1.7102837 ],[1.6        1.6        1.6        ... 1.67440459 1.67440459 1.6744843 ],"[ 0.          0.          0.         ... -0.00580867 -0.00580867
 -0.00581388]"
0.8,550,0.15448979591836737,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24769203e+09
 1.24769203e+09 1.24769204e+09]","[1380.59187541 1380.59187541 1380.59187541 ... 1082.53140248 1082.53140248
 1082.45769965]","[1.54489796e-01 1.54489796e-01 1.54489796e-01 ... 1.57411467e-06
 1.57411467e-06 1.56743005e-06]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 3.20490316e-08
 3.20490316e-08 3.20524712e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.71616524 1.71616524 1.71606381],[1.6        1.6        1.6        ... 1.67316349 1.67316349 1.67319392],"[ 0.          0.          0.         ... -0.00569177 -0.00569177
 -0.00569375]"
0.8,550,0.1726530612244898,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24769146e+09
 1.24769146e+09 1.24769149e+09]","[1380.59187541 1380.59187541 1380.59187541 ... 1078.76679642 1078.76679642
 1078.5648845 ]","[1.72653061e-01 1.72653061e-01 1.72653061e-01 ... 1.22536777e-06
 1.22536777e-06 1.21121344e-06]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 3.22310916e-08
 3.22310916e-08 3.22434554e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.72293942 1.72293942 1.7226645 ],[1.6        1.6        1.6        ... 1.67162177 1.67162177 1.67170425],"[ 0.          0.          0.         ... -0.00555147 -0.00555147
 -0.00555686]"
0.8,550,0.19081632653061226,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24769087e+09
 1.24769087e+09 1.24769087e+09]","[1380.59187541 1380.59187541 1380.59187541 ... 1074.30888201 1074.30888201
 1074.27101995]","[1.90816327e-01 1.90816327e-01 1.90816327e-01 ... 8.67655895e-07
 8.67655895e-07 8.65777753e-07]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 3.24635620e-08
 3.24635620e-08 3.24643406e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.73008527 1.73008527 1.73003412],[1.6        1.6        1.6        ... 1.67001238 1.67001238 1.67002772],"[ 0.          0.          0.         ... -0.00540325 -0.00540325
 -0.00540426]"
0.8,550,0.2089795918367347,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24769016e+09
 1.24769016e+09 1.24769018e+09]","[1380.59187541 1380.59187541 1380.59187541 ... 1069.88712592 1069.88712592
 1069.68990419]","[2.08979592e-01 2.08979592e-01 2.08979592e-01 ... 5.77238306e-07
 5.77238306e-07 5.70794655e-07]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 3.26911336e-08
 3.26911336e-08 3.26905512e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.73856207 1.73856207 1.73829929],[1.6        1.6        1.6        ... 1.66804404 1.66804404 1.66812288],"[ 0.          0.          0.         ... -0.0052284  -0.0052284
 -0.00523354]"
0.8,550,0.22714285714285715,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24768943e+09
 1.24768943e+09 1.24768945e+09]","[1380.59187541 1380.59187541 1380.59187541 ... 1064.66638562 1064.66638562
 1064.47369134]","[2.27142857e-01 2.27142857e-01 2.27142857e-01 ... 3.39030889e-07
 3.39030889e-07 3.35286817e-07]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 3.29694341e-08
 3.29694341e-08 3.29724071e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.74721694 1.74721694 1.74695852],[1.6        1.6        1.6        ... 1.66605878 1.66605878 1.66613631],"[ 0.          0.          0.         ... -0.00504955 -0.00504955
 -0.0050546 ]"
0.8,550,0.2453061224489796,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24768864e+09
 1.24768864e+09 1.24768865e+09]","[1380.59187541 1380.59187541 1380.59187541 ... 1059.0823423  1059.0823423
 1058.97062487]","[2.45306122e-01 2.45306122e-01 2.45306122e-01 ... 1.77524499e-07
 1.77524499e-07 1.76379642e-07]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 3.32573786e-08
 3.32573786e-08 3.32656610e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.75665405 1.75665405 1.75650412],[1.6        1.6        1.6        ... 1.66387108 1.66387108 1.66391606],"[ 0.          0.          0.         ... -0.00485494 -0.00485494
 -0.00485786]"
0.8,550,0.26346938775510204,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24768779e+09
 1.24768779e+09 1.24768780e+09]","[1380.59187541 1380.59187541 1380.59187541 ... 1053.04795294 1053.04795294
 1052.99532272]","[2.63469388e-01 2.63469388e-01 2.63469388e-01 ... 9.87282286e-08
 9.87282286e-08 9.87274680e-08]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 3.35899466e-08
 3.35899466e-08 3.35931175e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.76671451 1.76671451 1.76664379],[1.6        1.6        1.6        ... 1.66152393 1.66152393 1.66154514],"[ 0.          0.          0.         ... -0.00464776 -0.00464776
 -0.00464914]"
