q,R,e_init,age,a,e,spin1,type1,m1,m2,amloss
0.1,200.0,0.01,1245829289.8152776,197.94642828809012,9.95306498326406e-08,3.0761750517074e-07,5,1.9999424332492053,0.20000003891068988,-9.199738826666273e-08
0.1,200.0,0.010980250419408422,1245829285.2822764,197.94358846613216,9.8020454071992e-08,3.0762110338223254e-07,5,1.9999424333135514,0.20000003891301754,-9.200354283242568e-08
0.1,200.0,0.012056589927291887,1245829279.488946,197.93995957163472,9.830290153644431e-08,3.076258654412696e-07,5,1.9999424333957878,0.2000000389158029,-9.201095284959345e-08
0.1,200.0,0.013238437660578209,1245829271.9357078,197.9352283843376,9.86501916449563e-08,3.0763233999262904e-07,5,1.9999424335030063,0.20000003891912357,-9.201986840414064e-08
0.1,200.0,0.01453613606748761,1245829262.8766413,197.9295540623372,9.873359965568486e-08,3.0764005388610075e-07,5,1.9999424336316,0.20000003892313228,-9.203062320856452e-08
0.1,200.0,0.01596104141516088,1245829252.0240002,197.92275644636038,9.850498613693007e-08,3.076492197416529e-07,5,1.9999424337856535,0.20000003892797186,-9.20435981236548e-08
0.1,200.0,0.017525623169301542,1245829239.0410876,197.91462484893256,9.832729695652119e-08,3.076600742726893e-07,5,1.9999424339699463,0.2000000389338171,-9.205925353576209e-08
0.1,200.0,0.01924357311551172,1245829223.5370355,197.90491498962484,9.99699811299526e-08,3.076728738816733e-07,5,1.999942434190027,0.20000003894087817,-9.207814626889564e-08
0.1,200.0,0.02112992517725142,1245829205.0630233,197.893345155111,9.901525876766235e-08,3.0768788864768595e-07,5,1.999942434452266,0.20000003894941243,-9.210095024451822e-08
0.1,200.0,0.023201186978958357,1245829183.1109204,197.8795983289825,9.9783892091901e-08,3.0770537917089913e-07,5,1.9999424347638768,0.20000003895973148,-9.212848176573958e-08
0.1,200.0,0.02547548430564807,1245829157.117665,197.86332159602134,9.82000188822756e-08,3.0772557369330213e-07,5,1.9999424351328516,0.20000003897221827,-9.21617306107468e-08
0.1,200.0,0.0279727197231725,1245829126.4783304,197.84413766682437,9.842138711824432e-08,3.0774861211076584e-07,5,1.999942435567778,0.20000003898733892,-9.220189837520649e-08
0.1,200.0,0.030714746747235906,1245829090.5754204,197.82166031442952,9.791103050428685e-08,3.077744732671693e-07,5,1.9999424360774207,0.20000003900566746,-9.22504460551694e-08
0.1,200.0,0.03372556108533605,1245829048.8341367,197.79553131303075,9.887734926208168e-08,3.0780284771102756e-07,5,1.9999424366699394,0.20000003902791158,-9.230915343044841e-08
0.1,200.0,0.03703151062520455,1245828831.8729908,197.65625357141508,9.92845976906522e-08,3.084193211656059e-07,5,1.9999424397265764,0.20000003904443375,-9.237442682475247e-08
0.1,200.0,0.04066152600737297,1245828758.934074,197.60944482401374,9.88665113708888e-08,3.084972542188073e-07,5,1.9999424407541189,0.2000000390761404,-9.245976288232042e-08
0.1,200.0,0.044647373799624364,1245828671.4330456,197.55330563816094,9.942088961624555e-08,3.085890238513036e-07,5,1.9999424419868084,0.20000003911452305,-9.256302768493992e-08
0.1,200.0,0.049023934488881024,1245828565.6957848,197.4854874039193,9.873792274577976e-08,3.0869718468747974e-07,5,1.9999424434764046,0.2000000391609643,-9.268804975610639e-08
0.1,200.0,0.05382950772325868,1245828443.0123544,197.40682950056015,9.876330740701023e-08,3.0881616993774166e-07,5,1.9999424452047336,0.20000003921753728,-9.283973652670204e-08
0.1,200.0,0.059106147475486,1245828304.9902556,197.31837480946731,9.918665753781106e-08,3.089397037942528e-07,5,1.9999424471491494,0.200000039286806,-9.302413913285496e-08
0.1,200.0,0.06490003006073211,1245828138.5114374,197.211735714531,9.978068720059845e-08,3.090784503848127e-07,5,1.9999424494944553,0.2000000393709201,-9.324817073623198e-08
