star-ID,HIP,alt. ID,class,ev. s.,orbit,Porb,e_Porb,ecc,e_ecc,K1,e_K1,f(m),e_f(m),inc,e_inc,alpha,e_alpha,a,e_a,ref (orbit),Teff,e_Teff,logg,e_logg,[Fe/H],e_[Fe/H],[C/Fe],lg (C/O),[ls/Fe],[hs/Fe],[Ba/Fe],[Ba/Eu],ref (atm.),L,e_L,M,e_M,Mc,e_Mc,"ref(L,M)",plx,e_plx,ref_plx,G
default = HD,,,,,,d,d,,,km/s,km/s,Msun,Msun,deg,deg,mas,mas,AU,AU,,K,K,cgs,cgs,,,,,,,,,,Lsun,Lsun,Msun,Msun,Msun,Msun,,mas,mas,,mag
2454,2235,HR 107,dBa,d,ASB,29220,7670,0.59,0.04,,,,,34,6,,,22.2,4.3,ER23,6595,90,4.07,0.15,-0.29,0.06,,,0.61,,0.82,,Be14,,,1.23,0.07,0.5,0.09,"BL18, ER23",26.253,0.057,,5.942
5424,4347,,Ba 4,g,ASB,1906,17,0.19,0.05,3.08,0.08,0.0053,0.0004,30,3,,,3.69,0.37,"ER23, U98a",4728,80,2.5,0.2,-0.43,0.11,0.3,-0.3,1.11,1.75,2.1,1.4,Ka18,60,28,1.3,0.35,0.52,0.11,"J19, ER23",1.925,0.069,,9.196
15306,,BD -01 340,dBa,d,SB,8383,48,0.2,0.03,3.67,0.14,0.04,0.005,,,,,,,E19,6900,50,3.8,0.2,-0.4,0.14,,,,,,,E19,8.7,2.3,1.3,0.1,,,E19,5.183,0.037,,8.854
16458,13055,HR 774,Ba 5,g,ASB,2017,15,0.098,0.025,5.83,0.13,0.041,0.003,59,6,,,4.24,0.45,"ER23, MW90",4550,25,1.8,0.2,-0.64,0.1,0.28,-0.03,1.24,1.37,1.8,1.1,Ka18,217,12,1.75,0.2,0.74,0.15,"J19, ER23",6.608,0.072,,5.485
18182,13596,BD -04 496,Ba 0,g,ASB,8258,300,0.35,0.35,,,0.0002,u,33,26,,,10.9,1.5,ER23,4858,31,2.5,0.4,-0.17,0.1,,,0.43,0.38,,,"Ca16, J19",65,6,1.8,0.15,0.35,0.35,"J19, ER23",2.027,0.018,,8.721
20394,15264,BD +01 573,Ba 4,g,ASB,2248,8,0.16,0.06,2.11,0.07,0.00204,0.00023,31,3,,,4.56,0.46,"ER23, Gr96",4926,17,2.5,0,-0.22,0.12,,,1.07,1.49,,,"Ca16, J19",69,13,2,0.2,0.49,0.1,"J19, ER23",2.66,0.058,,8.459
22589,,BD -07 642,Ba 0.5,d,SB,5573,33,0.232,0.016,1.9,0.03,0.00367,0.00018,,,,,,,E19,5672,56,3.9,0.2,-0.07,0.09,,,,,,,E19,6.9,0.8,1.3,0.1,,,E19,5.831,0.039,,8.829
24035,17402,CD -72 173,Ba 4,g,ASB,378,0.5,0.014,0.016,10.6,0.3,0.0473,0.0035,71,31,,,1.41,0.15,"ER23, U98a",4700,100,2.5,0.2,-0.23,0.15,,,1.27,2.14,,,Ca16,26,13,1.3,0.25,0.76,0.25,"J19, ER23",4.247,0.081,,8.21
24864,,CD -54 750,dBa,d,SB,430,3,0,0.05,7.6,0.8,0.019,0.005,,,,,,,E19,6337,95,3.82,0.18,0,0.11,,,,,,,E19,9.2,0.6,1.38,0.06,,,E19,4.536,0.082,,8.997
26886,19816,BD -01 604,Ba 1,g,SB,1263.2,3.7,0.395,0.025,6.24,0.17,0.025,0.002,,,,,,,U98b,5000,,2.5,,-0.3,0.1,,,0.47,0.78,,,Ca16,,,,,,,,3.141,0.063,,7.742
27271,20102,BD +02 680,Ba 1,g,ASB,1681.1,1,0.224,0.007,5.3,0.1,0.0241,0.0014,103,5,,,4.23,0.27,"ER23, U98b",5022,40,2.9,0.5,-0.07,0.08,-0.06,-0.4,0.79,0.65,1.3,1,Ka18,82,15,2.9,0.2,0.7,0.09,"J19, ER23",5.351,0.103,,7.276
31487,23168,BD +51 1005,Ba 5,g,ASB,1063.8,0.4,0.037,0.018,7,0.1,0.0379,0.0015,32.1,1.2,,,3.3,0.2,"ER23, MW90",4960,50,3.1,0.2,-0.04,0.13,0.31,-0.25,1.11,1.5,1.9,1.3,Ka18,141,18,2.5,0.2,1.59,0.22,"Ka18, ER23",3.947,0.07,,7.691
34654,25222,BD +63 577,dBa,d,ASB,976,0.3,0.1114,0.0016,8.9,0.04,0.0699,0.0011,74,5,,,2.36,0.12,"ER23, E19",6174,50,4.4,0.3,-0.09,0.07,,,,,,,E19,1.8,0.3,1.19,0.05,0.64,0.06,"E19, ER23",27.14,0.41,,7.179
36598,25452,CD -70 313,Ba 4,g,SB,2653,23,0.084,0.018,5.15,0.09,0.037,0.002,,,,,,,U98a,,,,,,,,,,,,,,,,,,,,,3.428,0.066,,7.725
40430,28265,BD -10 1331,Ba 1,g,ASB,6147,278,0.262,0.025,1.67,0.06,0.0025,0.0004,23.4,0.6,,,9.4,0.8,"ER23, J19",4930,29,2.4,0.2,-0.23,0.13,,,0.67,0.9,,,"Ca16, J19",84,10,2.3,0.2,0.7,0.12,"J19, ER23",2.817,0.03,,7.81
42537,29099,CD -52 1453,Ba 5,g,SB,3216,55,0.156,0.047,4.4,0.25,0.027,0.005,,,,,,,U98a,,,,,,,,,,,,,,,,,,,,,0.868,0.017,,8.314
43389,29740,BD -02 1530,Ba 5,g,ASB,1688.4,1.4,0.083,0.017,6.26,0.12,0.0427,0.0025,111,3,,,4,0.7,"ER23, U98b",4000,50,2,0.5,-0.35,0.13,0.22,-0.1,0.57,1.38,1.8,1,Ka18,260,67,2.2,1.1,0.76,0.25,"J19, ER23",2.108,0.049,,7.883
44896,30338,CD -33 2935,Ba 5,g,ASB,629,1.1,0.019,0.013,9.04,0.07,0.0483,0.0011,78,35,,,2.29,0.1,"ER23, U98b",4300,100,0.7,,-0.25,,,-0.07,0.99,0.9,0.8,0.6,Sm84,676,158,3,1.1,1,0.2,"J19, ER23",2.356,0.073,,6.723
46407,31205,HR CMa (HR 2392),Ba 3,g,SB,457.4,0.14,0.013,0.008,9.03,0.07,0.035,0.0009,,,,,,,U98b,4854,100,2.2,0.4,-0.35,0.11,0.25,-0.08,1.22,1.53,1.9,1.3,Ka18,83,50,2.1,0.65,,,J19,5.024,0.223,,6.012
48565,32329,BD +20 1552,dBa,d,ST out,10531,210,0.37,0.06,3.9,0.2,0.053,0.003,,,,,,,E19,6030,100,3.8,0.3,-0.6,0.3,,,0.99,1.44,1.5,1.2,"KG14, E19",2.8,0.3,0.92,0.05,,,E19,20.02,0.085,,7.07
48565,32329,BD +20 1552,dBa,d,ST in,73.344,0.013,0.22,0.007,9.17,0.06,0.00542,0.0001,,,,,,,E19,6030,100,3.8,0.3,-0.6,0.3,,,0.99,1.44,1.5,1.2,"KG14, E19",2.8,0.3,0.92,0.05,,,E19,20.02,0.085,,7.07
49641,32713,BD +03 1414,Ba 3,g,ASB,1793,21,0.06,0.06,2.58,0.12,0.0031,0.0004,159.5,1.6,,,4.9,0.9,"ER23, MW90",4400,100,1.5,0.2,-0.3,0.17,,,0.71,1.45,,,Ca16,457,117,3.7,1,1.2,0.4,"J19, ER23",1.917,0.042,,6.796
49841,32831,BD +05 1440,Ba 1,g,ASB,897.5,1.9,0.162,0.015,7.12,0.12,0.0324,0.0017,109,19,,,2.8,0.1,"ER23, U98b",5200,,3.2,,0.2,,,,0.75,0.69,,,Pe11,61,12,2.85,0.1,0.82,0.16,ER23,2.452,0.106,,8.354
50082,32960,BD +06 1411,Ba 4,g,ASB,2883,6,0.19,0.02,4.54,0.11,0.027,0.002,63,3,,,5.1,0.9,"ER23, U98b",4789,100,2.4,0.5,-0.32,0.11,0.09,-0.15,0.96,1.39,1.8,1.4,Ka18,63,3.1,1.6,0.25,0.56,0.18,"J19, ER23",4.434,0.109,,7.199
50264,32894,CD -29 3557,dBa,d,ASB,910.2,0.8,0.077,0.018,9.52,0.14,0.08,0.003,103,40,,,2.1,0.2,"ER23, E19",5800,100,4.2,0.2,-0.34,0.08,0.59,,1.09,0.84,1.25,0.8,PJ03,0.89,0.08,0.9,0.1,0.63,0.13,"E19, ER23",14.01,0.37,,8.896
51959,33628,BD -06 1863,Ba 1,g,ASB,11195,475,0.295,0.047,0.92,0.06,0.00047,0.00014,163.2,0.8,,,11.8,1,"ER23, J19",4814,34,3.2,0.5,-0.21,,,,1.11,0.98,,,J19,13,2.5,1.2,0.1,0.51,0.08,"J19, ER23",5.012,0.025,,8.699
53199,34143,BD +13 1540,Ba 2,g,ASB,8233,175,0.255,0.01,3.3,0.1,0.028,0.003,103,7,,,11.7,0.5,"ER23, J19",5119,28,2.9,0.2,-0.23,0.13,,,0.69,1,,,"Ca16, J19",55,9,2.5,0.1,0.64,0.05,"J19, ER23",2.092,0.019,,8.87
58121,35935,BD +06 1648,Ba 1,g,ASB,1217,5,0.135,0.019,4.97,0.07,0.015,0.0007,121,4,,,3.4,0.5,"ER23, U98b",4600,100,1.8,0.2,-0.01,0.13,,,0.34,0.44,,,Ca16,142,21,2.6,0.45,0.67,0.19,"J19, ER23",2.17,0.055,,7.642
58368,36042,BD +07 1719,Ba 2,g,ASB,673.1,1.5,0.22,0.02,6.91,0.14,0.0213,0.0013,78,27,,,2.23,0.17,"ER23, MW90",5000,100,2.6,0.2,0.04,0.14,,,0.73,1,,,Ca16,43,6,2.6,0.15,0.66,0.17,"J19, ER23",3.024,0.088,,7.761
59852,36613,BD -04 1986,Ba 1,g,ASB,3477,80,0.14,0.08,1.85,0.12,0.0022,0.0004,26,4,,,6.6,0.8,"ER23, U98a",5000,100,2.2,0.2,-0.22,0.1,,,0.34,0.4,,,Ca16,90,10,2.5,0.25,0.62,0.15,"J19, ER23",1.968,0.023,,8.481
60197,36643,CD -29 4525,Ba 5,g,SB,3244,66,0.34,0.05,2.16,0.13,0.0028,0.0006,,,,,,,U98a,3800,50,2,0.5,-0.6,0.12,0.17,-0.1,0.89,0.97,1.7,1.1,Ka18,,,,,,,,1.031,0.018,,7.14
76225,43703,CD -26 6556,dBa,d,SB,2410,2,0.098,0.005,6.11,0.04,0.0561,0.001,,,,,,,E19,6340,50,3.9,0.2,-0.37,0.08,,,,,,,E19,5.9,0.7,1.21,0.06,,,E19,5.917,0.054,,9.113
77247,44464,PV UMa,Ba 1,g,ASB,80.5371,0.0013,0.108,0.005,8.47,0.09,0.005,0.0002,98,25,,,0.63,0.03,"ER23, MW90",5050,100,2.5,0.5,-0.13,,,,0.74,0.72,,,J19,346,41,3.9,0.15,0.54,0.11,"J19, ER23",2.454,0.023,,6.622
84678,,CD -75 446,Ba 4,g,SB,1629.9,10.4,0.06,0.02,7.16,0.12,0.062,0.003,,,,,,,U98a,4600,100,1.7,0.2,-0.13,0.16,,,1.15,1.78,,,Ca16,189,37,2.3,0.55,,,J19,1.726,0.04,,8.576
87080,49166,CD -33 6602,sgCH,d,ASB,274.31,0.05,0.162,0.016,12.17,0.07,0.0492,0.0008,60,12,,,1.05,0.1,"ER23, E19",5483,50,3.6,0.3,-0.6,0.08,0.61,,1.12,1.54,1.5,0.9,"PJ03, E19",12.5,0.8,1.38,0.15,0.7,0.18,ER23,5.187,0.06,,9.191
88562,50006,BD -15 3003,Ba 4,g,ASB,1451,1,0.203,0.013,6.98,0.12,0.0479,0.0026,87,9,,,2.9,0.3,"ER23, U98a",4000,50,2,0.5,-0.53,0.12,0.1,-0.05,0.64,1.09,1.6,0.7,Ka18,277,41,1,0.1,0.48,0.09,"J19, ER23",1.276,0.076,,8.127
